,par_id,soa,target_location,congruency_area,congruency_area_continuous,congruency_area_absolute,sub_ind,sub_area,sub_area_continuous
144,4,100.0,2.0,183.9256103148763,182.9961634534966,183.9256103148763,99,42.05737003082706,41.57567448965892
145,4,350.0,2.0,235.61457181985526,234.30875264731003,235.61457181985526,19,4.6442256075210455,5.131383573951069
146,4,350.0,2.0,235.61457181985526,234.30875264731003,235.61457181985526,39,43.33197268405279,44.450830677925296
147,4,350.0,2.0,235.61457181985526,234.30875264731003,235.61457181985526,59,67.65643070323078,67.57656783674975
148,4,350.0,2.0,235.61457181985526,234.30875264731003,235.61457181985526,79,56.779118390457896,56.599587705012254
149,4,350.0,2.0,235.61457181985526,234.30875264731003,235.61457181985526,99,49.91068533792941,49.74487112096085
150,4,850.0,2.0,-16.739803379886194,-16.284297776426683,16.739803379886194,19,6.917290540936854,7.3644212697389975
151,4,850.0,2.0,-16.739803379886194,-16.284297776426683,16.739803379886194,39,13.879813438186753,13.534932632340656
152,4,850.0,2.0,-16.739803379886194,-16.284297776426683,16.739803379886194,59,-4.2304577588247625,-4.715061430915057
153,4,850.0,2.0,-16.739803379886194,-16.284297776426683,16.739803379886194,79,-15.220755711424545,-15.299152767009673
154,4,850.0,2.0,-16.739803379886194,-16.284297776426683,16.739803379886194,99,-16.758870992731616,-16.755381079125073
155,4,1100.0,2.0,-118.526540761712,-117.55587313873639,118.526540761712,19,-0.9181960021953885,-0.7473765003904305
156,4,1100.0,2.0,-118.526540761712,-117.55587313873639,118.526540761712,39,6.16336012203101,5.873063213350406
157,4,1100.0,2.0,-118.526540761712,-117.55587313873639,118.526540761712,59,-19.818580590984844,-21.00593350779991
158,4,1100.0,2.0,-118.526540761712,-117.55587313873639,118.526540761712,79,-53.330679272822636,-53.288254696975855
159,4,1100.0,2.0,-118.526540761712,-117.55587313873639,118.526540761712,99,-43.98261316266341,-43.72122423998189
160,5,100.0,1.0,-196.37562687094112,-196.94870991669632,196.37562687094112,19,-13.09594668250251,-14.070729601871136
161,5,100.0,1.0,-196.37562687094112,-196.94870991669632,196.37562687094112,39,-65.1092824632868,-66.14396659360932
162,5,100.0,1.0,-196.37562687094112,-196.94870991669632,196.37562687094112,59,-76.4949736387255,-75.98694106572339
163,5,100.0,1.0,-196.37562687094112,-196.94870991669632,196.37562687094112,79,-40.22894375048284,-38.95315887619745
164,5,100.0,1.0,-196.37562687094112,-196.94870991669632,196.37562687094112,99,7.635435170319596,8.471924541658154
165,5,350.0,1.0,-20.72368716272551,-21.10238469687556,20.72368716272551,19,-3.2369495411211666,-3.5612373412774474
166,5,350.0,1.0,-20.72368716272551,-21.10238469687556,20.72368716272551,39,-15.614032266223067,-15.576276515580275
167,5,350.0,1.0,-20.72368716272551,-21.10238469687556,20.72368716272551,59,-1.8483074657987686,-1.5165535662181355
168,5,350.0,1.0,-20.72368716272551,-21.10238469687556,20.72368716272551,79,-1.8777231929117306,-2.0840788900272855
169,5,350.0,1.0,-20.72368716272551,-21.10238469687556,20.72368716272551,99,2.5005260340814175,2.9747279991461255
170,5,850.0,1.0,-186.74394662994447,-185.58660534390583,186.74394662994447,19,-2.5439075629669254,-2.6932060970501936
171,5,850.0,1.0,-186.74394662994447,-185.58660534390583,186.74394662994447,39,-9.821922754712276,-10.221694438174268
172,5,850.0,1.0,-186.74394662994447,-185.58660534390583,186.74394662994447,59,-39.12896827169958,-40.061093373337826
173,5,850.0,1.0,-186.74394662994447,-185.58660534390583,186.74394662994447,79,-69.80304012095492,-70.11105639603466
174,5,850.0,1.0,-186.74394662994447,-185.58660534390583,186.74394662994447,99,-54.89535036813564,-54.19894846263469
175,5,1100.0,1.0,-262.68932813624997,-262.21779781573605,262.68932813624997,19,-12.231289552475928,-13.229018951776965
176,5,1100.0,1.0,-262.68932813624997,-262.21779781573605,262.68932813624997,39,-60.094856456479256,-60.86123727337849
177,5,1100.0,1.0,-262.68932813624997,-262.21779781573605,262.68932813624997,59,-78.4196659727267,-78.68110144291222
178,5,1100.0,1.0,-262.68932813624997,-262.21779781573605,262.68932813624997,79,-66.8698129807845,-66.01258776783197
179,5,1100.0,1.0,-262.68932813624997,-262.21779781573605,262.68932813624997,99,-31.496344286851382,-30.71781790038858
180,5,100.0,2.0,43.84785532257591,43.316617573238545,43.84785532257591,19,8.098368723969676,8.533849793882013
181,5,100.0,2.0,43.84785532257591,43.316617573238545,43.84785532257591,39,11.360996143290409,10.969106109940071
182,5,100.0,2.0,43.84785532257591,43.316617573238545,43.84785532257591,59,-2.5905268894757327,-2.8286073118542845
183,5,100.0,2.0,43.84785532257591,43.316617573238545,43.84785532257591,79,2.988889973813585,3.647231412538531
184,5,100.0,2.0,43.84785532257591,43.316617573238545,43.84785532257591,99,21.38142775719801,21.40022474617672
185,5,350.0,2.0,-55.390704636860995,-55.973520145498696,55.390704636860995,19,-5.067318735634849,-5.7689405998984
186,5,350.0,2.0,-55.390704636860995,-55.973520145498696,55.390704636860995,39,-34.666393647511555,-35.072661224139665
187,5,350.0,2.0,-55.390704636860995,-55.973520145498696,55.390704636860995,59,-28.71769406038674,-27.77212485326868
188,5,350.0,2.0,-55.390704636860995,-55.973520145498696,55.390704636860995,79,1.5577068202232311,1.8080961315013155
189,5,350.0,2.0,-55.390704636860995,-55.973520145498696,55.390704636860995,99,14.075166767764756,14.50492611950176
190,5,850.0,2.0,48.15673782749019,47.448721355960515,48.15673782749019,19,-2.7899406899620685,-2.8457827459751996
191,5,850.0,2.0,48.15673782749019,47.448721355960515,48.15673782749019,39,-2.460753875667841,-2.2648735242137263
192,5,850.0,2.0,48.15673782749019,47.448721355960515,48.15673782749019,59,5.633351569027951,5.735803930274415
193,5,850.0,2.0,48.15673782749019,47.448721355960515,48.15673782749019,79,18.64511657273283,19.02352173127656
194,5,850.0,2.0,48.15673782749019,47.448721355960515,48.15673782749019,99,25.75943267813166,25.78169857292869
