vib,modality,vision,par_id,traj_ind,x,y
novib,limb,full,14,60,-249.6805,171.0081786
novib,limb,full,14,65,-240.4815357,175.5414643
novib,limb,full,14,70,-230.1223429,179.8215143
novib,limb,full,14,75,-222.38325,182.0909071
novib,limb,full,14,80,-217.2097571,183.3315571
novib,limb,full,14,85,-215.07385,183.9564929
novib,limb,full,14,90,-213.1774214,184.82415
novib,limb,full,14,95,-213.1940357,185.2961357
novib,limb,full,14,100,-212.7497071,186.0455929
novib,limb,full,15,0,-399.8186714,37.49680714
novib,limb,full,15,5,-392.4912143,45.36214286
novib,limb,full,15,10,-386.6246429,53.65936429
novib,limb,full,15,15,-378.2183214,65.81762857
novib,limb,full,15,20,-367.5893286,81.93993571
novib,limb,full,15,25,-352.1958857,102.2887429
novib,limb,full,15,30,-340.0366571,116.2452286
novib,limb,full,15,35,-318.8292429,138.2247071
novib,limb,full,15,40,-306.0105857,149.4607214
novib,limb,full,15,45,-287.9603857,163.4828643
novib,limb,full,15,50,-266.5375643,177.6026
novib,limb,full,15,55,-256.0849286,183.2566357
novib,limb,full,15,60,-244.7388786,188.7548643
novib,limb,full,15,65,-238.9239643,191.6276143
novib,limb,full,15,70,-229.76725,195.8293286
novib,limb,full,15,75,-224.4457786,198.1210071
novib,limb,full,15,80,-222.3966643,199.1503714
novib,limb,full,15,85,-219.1125357,200.80185
novib,limb,full,15,90,-217.26655,202.1902714
novib,limb,full,15,95,-216.2687071,202.9692857
novib,limb,full,15,100,-214.9783786,204.4907643
novib,limb,full,16,0,-388.3263533,27.13178
novib,limb,full,16,5,-382.9409,33.24212
novib,limb,full,16,10,-373.41242,45.90934667
novib,limb,full,16,15,-362.20904,61.87996667
novib,limb,full,16,20,-354.6752733,72.21038
novib,limb,full,16,25,-340.1861267,91.87058
novib,limb,full,16,30,-324.64968,110.5212
novib,limb,full,16,35,-307.4953867,128.5859
novib,limb,full,16,40,-288.95884,145.1008933
novib,limb,full,16,45,-270.22984,159.3856
novib,limb,full,16,50,-250.7461267,172.5434933
novib,limb,full,16,55,-246.6721333,175.04418
novib,limb,full,16,60,-233.4484333,182.8498667
novib,limb,full,16,65,-223.21904,188.5972533
novib,limb,full,16,70,-215.7206,192.7292133
novib,limb,full,16,75,-210.79092,195.3943267
novib,limb,full,16,80,-207.9017667,196.7033933
novib,limb,full,16,85,-207.6275867,196.9075867
novib,limb,full,16,90,-205.49924,197.2108733
novib,limb,full,16,95,-204.0745733,197.6525467
novib,limb,full,16,100,-203.7557067,198.69408
novib,cursor,preview,2,0,-409.0442385,7.069476923
novib,cursor,preview,2,5,-406.1836154,12.37881538
novib,cursor,preview,2,10,-396.6594538,27.70907692
novib,cursor,preview,2,15,-387.8610769,42.68926923
novib,cursor,preview,2,20,-375.9521154,61.94617692
novib,cursor,preview,2,25,-360.5257923,82.39243077
novib,cursor,preview,2,30,-345.5454308,98.75315385
novib,cursor,preview,2,35,-330.7169923,113.1687154
novib,cursor,preview,2,40,-317.3859462,124.8451923
novib,cursor,preview,2,45,-304.1645615,135.4798846
novib,cursor,preview,2,50,-290.0298,146.4791769
novib,cursor,preview,2,55,-279.9674692,153.6594615
novib,cursor,preview,2,60,-271.3312923,159.5484462
novib,cursor,preview,2,65,-265.2890385,163.6000538
novib,cursor,preview,2,70,-258.3615077,168.0798462
novib,cursor,preview,2,75,-253.9710692,170.4022769
novib,cursor,preview,2,80,-250.9471462,171.8534231
novib,cursor,preview,2,85,-248.2345846,172.7727615
novib,cursor,preview,2,90,-248.1234692,172.5003077
novib,cursor,preview,2,95,-247.7837077,172.5541923
novib,cursor,preview,2,100,-247.4199077,173.1443769
novib,cursor,preview,3,0,-407.3698333,1.740877333
novib,cursor,preview,3,5,-404.3084733,6.168793333
novib,cursor,preview,3,10,-397.8721333,15.66509333
novib,cursor,preview,3,15,-391.2461333,25.05758
novib,cursor,preview,3,20,-382.4516133,36.82893333
novib,cursor,preview,3,25,-367.1568267,55.2848
novib,cursor,preview,3,30,-355.1820133,68.5818
novib,cursor,preview,3,35,-340.4908533,84.02238667
novib,cursor,preview,3,40,-326.9044867,96.76612
novib,cursor,preview,3,45,-311.75326,110.5758933
novib,cursor,preview,3,50,-294.9871467,124.9939133
novib,cursor,preview,3,55,-284.6958,133.3984467
novib,cursor,preview,3,60,-273.7827533,142.0755067
novib,cursor,preview,3,65,-267.1736733,147.2893
novib,cursor,preview,3,70,-259.5905067,153.24162
novib,cursor,preview,3,75,-253.1706,158.43212
novib,cursor,preview,3,80,-249.3978333,161.4464333
novib,cursor,preview,3,85,-246.1701067,163.8195733
novib,cursor,preview,3,90,-244.3898267,165.3056733
novib,cursor,preview,3,95,-242.5420467,166.9644733
novib,cursor,preview,3,100,-241.86952,168.0587933
novib,cursor,preview,4,0,-410.2154308,6.150892308
novib,cursor,preview,4,5,-404.7641077,11.54686923
novib,cursor,preview,4,10,-396.6699154,23.26162308
novib,cursor,preview,4,15,-390.1623615,34.46123846
novib,cursor,preview,4,20,-380.3625692,51.08668462
novib,cursor,preview,4,25,-364.4491231,75.68728462
novib,cursor,preview,4,30,-349.9251,94.79448462
