location,target,cue_ind,soa,screen_calib_routine.thisRepN,screen_calib_routine.thisTrialN,screen_calib_routine.thisN,screen_calib_routine.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_welcome.started,text_welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_type,text_4.started,text_4.stopped,screen_calib_circle_2.started,screen_calib_circle_2.stopped,calib_start.started,calib_start.stopped,screen_calib_circle.started,screen_calib_circle.stopped,text_5.started,text_5.stopped,sound_2.started,sound_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_7.started,text_7.stopped,keep_trial,text_instr_2.started,text_instr_2.stopped,soa_actual,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,participant,expVersion,age,sex,date,expName,psychopyVersion,frameRate,
,1,2,850,,,,,2,1,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666561999998521,space,0.6673552000029304,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,350,,,,,2,2,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36672879999969155,space,0.5272119000001112,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,100,,,,,2,3,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11669400000027963,space,0.6107883000004222,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,350,,,,,2,4,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.3666732999990927,space,0.6781957999992301,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,1100,,,,,2,5,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166947999990953,space,0.4932227999997849,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,100,,,,,2,6,38,12,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11663950000001932,space,0.6964562000030128,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,850,,,,,2,7,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666573999980756,space,0.7293267000022752,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,850,,,,,2,8,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666969999976573,space,0.05711949999749777,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,100,,,,,2,9,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11666409999816096,space,0.6906984000015655,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,1100,,,,,2,10,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166982000031567,space,0.9721478999999817,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
